uid,vid
12687,18
12723,18
12751,18
12767,18
12781,18
12809,18
12865,18
12867,18
12885,18
12923,18
12925,18
12937,18
12955,18
12957,18
12977,18
13001,18
13011,18
13033,18
13041,18
13045,18
13047,18
13049,18
13051,18
13053,18
13073,18
13097,18
13099,18
13101,18
13123,18
13153,18
13155,18
13171,19
13181,19
13185,19
13197,19
13203,19
13209,19
13211,19
13217,19
13223,19
13233,19
13241,19
13251,19
13279,19
13285,19
13289,19
13311,19
13333,19
13351,19
13353,19
13377,19
13385,19
13411,19
13445,19
13447,19
13463,19
13465,19
13497,19
13525,19
13549,19
13553,19
13569,19
13571,19
13599,19
13623,19
13625,19
13627,19
13629,19
13631,19
13637,19
13651,19
13653,19
13693,19
13695,19
13735,19
13755,19
13757,19
13801,19
13803,19
13819,19
13821,19
13841,19
13843,19
13845,19
13853,19
13855,19
13857,19
13873,19
13875,19
13877,19
13881,20
13889,20
13893,20
13897,20
13907,20
13911,20
13915,20
13921,20
13925,20
13933,20
13937,20
13943,20
13953,20
13963,20
13973,20
13983,20
13991,20
13999,20
14005,20
14015,20
14021,20
14025,20
14031,20
14047,20
14051,20
14059,20
14069,20
14075,20
14087,20
14097,20
14107,20
14119,20
14123,20
14131,20
14139,20
14151,20
14159,20
14167,20
14179,20
14191,20
14195,20
14215,20
14227,20
14229,20
14231,20
14245,20
14255,20
14267,20
14277,20
14283,20
14291,20
14299,20
14305,20
14309,20
14315,20
14321,20
14327,20
14333,20
14341,20
14347,20
14353,20
14359,20
14367,20
14375,20
14379,20
14387,20
14391,20
14397,20
14403,20
14413,20
14417,20
14431,20
14437,20
14445,20
14453,20
14469,20
14477,20
14485,20
14491,20
14505,20
14515,20
14527,20
14539,20
14551,20
14559,20
14563,20
14567,20
14573,20
14581,20
14587,20
14591,20
14601,20
14609,20
14625,20
14633,20
14645,20
14653,20
14663,20
14681,20
14685,20
14693,20
14699,20
14707,20
14713,20
14721,20
14733,20
14735,20
14741,20
14753,20
14757,20
14761,20
