cid,hid
60,1759
60,1793
61,40
61,52
61,81
61,155
61,185
61,222
61,326
61,350
61,420
61,472
61,514
61,545
61,551
61,639
61,680
61,722
61,729
61,821
61,938
61,984
61,1054
61,1535
61,1774
61,10162
62,124
62,148
62,167
62,297
62,397
62,697
62,845
62,975
62,1027
62,1546
62,10155
63,50
63,63
63,82
63,106
63,116
63,177
63,299
63,318
63,351
63,366
63,398
63,684
63,858
63,895
63,924
63,957
63,1074
63,1090
63,1123
63,1152
63,1155
63,1260
63,1311
63,1368
63,1399
64,1
64,15
64,22
64,29
64,39
64,42
64,54
64,65
64,78
64,89
64,121
64,164
64,203
64,229
64,253
64,278
64,292
64,323
64,349
64,372
64,394
64,423
64,495
64,516
64,532
64,670
64,693
64,713
64,725
64,736
64,798
64,823
64,839
64,865
64,900
64,930
64,959
64,993
64,1059
64,1095
64,1096
64,1133
64,1164
64,1230
64,1240
64,1360
64,1403
64,1496
64,1526
65,43
65,101
65,120
65,178
65,181
65,183
65,200
65,262
65,310
65,317
65,347
65,373
65,391
65,416
65,463
65,488
65,510
65,549
65,556
65,668
65,686
65,790
65,800
65,812
65,868
65,870
65,899
65,925
65,946
65,950
65,983
65,1012
65,1049
65,1088
65,1113
65,1314
65,1372
65,1398
65,1509
65,1764
65,10172
66,236
66,343
66,466
66,474
66,668
66,683
66,979
66,1131
67,63
67,153
67,170
67,247
67,895
67,1108
68,71
68,145
68,191
68,212
68,258
68,259
68,460
68,477
68,742
68,848
68,858
68,873
68,932
68,996
68,1069
68,1167
69,91
69,140
69,222
69,246
69,257
69,437
69,463
69,946
69,971
69,997
69,1091
69,1104
69,1159
69,1163
70,79
70,92
70,145
70,169
70,197
70,215
70,242
70,248
70,250
70,269
70,435
70,459
70,476
70,827
70,849
70,858
70,876
70,906
70,972
70,996
70,1071
70,1072
70,1111
70,1137
70,1162
70,1172
70,1820
71,106
71,252
71,1136
71,1174
73,830
76,330
76,498
76,778
78,1494
79,835
81,309
82,274
82,358
83,324
84,111
85,617
85,654
88,281
88,1175
92,1507
93,136
96,238
99,342
99,425
99,1529
100,963
102,508
102,737
102,1066
102,1503
103,520
103,712
106,489
107,644
107,711
109,520
109,655
109,712
109,816
112,834
118,122
