pid,voteId,result,state,lastTouched,dr_id,lastTouched_ts,voteId,bid,mid,cid,VoteDate,ayes,naes,abstain,result,lastTouched,VoteDateSeq,VoteDate_ts,lastTouched_ts
1,34765,ABS,CA,"2016-07-12 23:25:16",30,1468365916,34765,CA_201520160SCR29,147640,452,"2015-03-26 09:26:00",27,1,11,(PASS),"2016-07-12 23:23:36",1002,1427361960,1468365816
1,34768,AYE,CA,"2016-07-12 23:25:13",31,1468365913,34768,CA_201520160SCR32,147641,452,"2015-03-26 09:39:00",32,0,7,(PASS),"2016-07-12 23:23:36",1004,1427362740,1468365816
1,34769,AYE,CA,"2016-07-12 23:25:13",32,1468365913,34769,CA_201520160ACR26,147642,452,"2015-03-26 09:41:00",31,0,8,(PASS),"2016-07-12 23:23:36",1005,1427362860,1468365816
1,34770,AYE,CA,"2016-07-12 23:25:13",33,1468365913,34770,CA_201520160ACR41,147643,452,"2015-03-26 09:53:00",31,0,8,(PASS),"2016-07-12 23:23:36",1007,1427363580,1468365816
1,34771,AYE,CA,"2016-07-12 23:25:15",34,1468365915,34771,CA_201520160ACR42,147644,452,"2015-03-26 09:43:00",31,0,8,(PASS),"2016-07-12 23:23:36",1006,1427362980,1468365816
1,34784,AYE,CA,"2016-07-12 23:24:54",35,1468365894,34784,CA_201520160SCR10,147514,452,"2015-03-09 15:18:00",35,0,2,(PASS),"2016-07-12 23:23:36",1002,1425914280,1468365816
1,34785,AYE,CA,"2016-07-12 23:24:51",36,1468365891,34785,CA_201520160SR13,147515,452,"2015-03-09 15:34:00",36,0,1,(PASS),"2016-07-12 23:23:36",1003,1425915240,1468365816
1,34786,AYE,CA,"2016-07-12 23:24:52",37,1468365892,34786,CA_201520160SR14,147516,452,"2015-03-09 15:52:00",36,0,1,(PASS),"2016-07-12 23:23:36",1004,1425916320,1468365816
1,34787,AYE,CA,"2016-07-12 23:24:55",38,1468365895,34787,CA_201520160SCR21,147531,452,"2015-03-19 09:50:00",35,0,3,(PASS),"2016-07-12 23:23:36",1004,1426758600,1468365816
1,34788,AYE,CA,"2016-07-12 23:24:55",39,1468365895,34788,CA_201520160SCR31,147532,452,"2015-03-19 09:51:00",35,0,3,(PASS),"2016-07-12 23:23:36",1005,1426758660,1468365816
1,34789,AYE,CA,"2016-07-12 23:24:55",40,1468365895,34789,CA_201520160SR16,147533,452,"2015-03-19 09:35:00",35,0,3,(PASS),"2016-07-12 23:23:36",1002,1426757700,1468365816
1,34790,AYE,CA,"2016-07-12 23:24:55",41,1468365895,34790,CA_201520160ACR20,147534,452,"2015-03-19 09:53:00",35,0,3,(PASS),"2016-07-12 23:23:36",1006,1426758780,1468365816
1,34847,AYE,CA,"2016-07-12 23:25:23",42,1468365923,34847,CA_201520160SJR2,147692,452,"2015-04-09 10:00:00",39,0,0,(PASS),"2016-07-12 23:23:36",1002,1428573600,1468365816
1,34848,AYE,CA,"2016-07-12 23:25:23",43,1468365923,34848,CA_201520160SR17,147693,452,"2015-04-09 10:08:00",27,7,5,(PASS),"2016-07-12 23:23:36",1003,1428574080,1468365816
1,34849,AYE,CA,"2016-07-12 23:25:24",44,1468365924,34849,CA_201520160SB35,147694,452,"2015-04-09 10:11:00",38,0,1,(PASS),"2016-07-12 23:23:36",1004,1428574260,1468365816
1,34850,AYE,CA,"2016-07-12 23:25:24",45,1468365924,34850,CA_201520160SB266,147695,452,"2015-04-09 10:16:00",36,1,2,(PASS),"2016-07-12 23:23:36",1005,1428574560,1468365816
1,34851,AYE,CA,"2016-07-12 23:25:24",46,1468365924,34851,CA_201520160SJR3,147696,452,"2015-04-09 10:20:00",25,12,2,(PASS),"2016-07-12 23:23:36",1006,1428574800,1468365816
1,34852,AYE,CA,"2016-07-12 23:25:25",47,1468365925,34852,CA_201520160ACR17,147697,452,"2015-04-09 10:26:00",38,0,1,(PASS),"2016-07-12 23:23:36",1007,1428575160,1468365816
1,34853,AYE,CA,"2016-07-12 23:25:23",48,1468365923,34853,CA_201520160SB146,147698,452,"2015-04-09 10:29:00",38,0,1,(PASS),"2016-07-12 23:23:36",1008,1428575340,1468365816
1,34878,AYE,CA,"2016-07-12 23:25:29",49,1468365929,34878,CA_201520160SB559,147745,452,"2015-04-13 14:47:00",28,3,8,(PASS),"2016-07-12 23:23:36",1006,1428936420,1468365816
1,34883,AYE,CA,"2016-07-12 23:25:30",50,1468365930,34883,CA_201520160SB644,147517,62,"2015-04-13 00:00:00",5,0,0,(PASS),"2016-07-12 23:23:36",1,1428883200,1468365816
1,34885,AYE,CA,"2016-07-12 23:25:30",51,1468365930,34885,CA_201520160SB686,147517,62,"2015-04-13 00:00:00",4,1,0,(PASS),"2016-07-12 23:23:36",1,1428883200,1468365816
1,34886,AYE,CA,"2016-07-12 23:25:30",52,1468365930,34886,CA_201520160SB780,147517,62,"2015-04-13 00:00:00",3,1,0,(PASS),"2016-07-12 23:23:36",1,1428883200,1468365816
1,34887,AYE,CA,"2016-07-12 23:25:30",53,1468365930,34887,CA_201520160SJR1,147618,62,"2015-04-13 00:00:00",4,1,0,(PASS),"2016-07-12 23:23:36",1,1428883200,1468365816
1,34888,AYE,CA,"2016-07-12 23:25:30",54,1468365930,34888,CA_201520160SB185,147517,62,"2015-04-13 00:00:00",3,2,0,(PASS),"2016-07-12 23:23:36",1,1428883200,1468365816
1,34889,AYE,CA,"2016-07-12 23:25:30",55,1468365930,34889,CA_201520160SB216,147622,62,"2015-04-13 00:00:00",5,0,0,(PASS),"2016-07-12 23:23:36",1,1428883200,1468365816
1,34903,AYE,CA,"2016-07-12 23:25:11",56,1468365911,34903,CA_201520160SB133,147518,55,"2015-03-24 00:00:00",10,0,0,(PASS),"2016-07-12 23:23:37",1,1427155200,1468365817
1,34904,AYE,CA,"2016-07-12 23:25:11",57,1468365911,34904,CA_201520160SJR4,147618,55,"2015-03-24 00:00:00",10,0,0,(PASS),"2016-07-12 23:23:37",1,1427155200,1468365817
1,34919,AYE,CA,"2016-07-12 23:25:14",58,1468365914,34919,CA_201520160SB33,147504,56,"2015-03-25 00:00:00",8,0,0,(PASS),"2016-07-12 23:23:37",1,1427241600,1468365817
1,34920,AYE,CA,"2016-07-12 23:25:14",59,1468365914,34920,CA_201520160SB118,147504,56,"2015-03-25 00:00:00",9,0,0,(PASS),"2016-07-12 23:23:37",1,1427241600,1468365817
1,34923,AYE,CA,"2016-07-12 23:25:14",60,1468365914,34923,CA_201520160SB125,147504,56,"2015-03-25 00:00:00",8,0,0,(PASS),"2016-07-12 23:23:37",1,1427241600,1468365817
1,34924,AYE,CA,"2016-07-12 23:25:14",61,1468365914,34924,CA_201520160SB128,147638,56,"2015-03-25 00:00:00",6,2,0,(PASS),"2016-07-12 23:23:37",1,1427241600,1468365817
1,34963,AYE,CA,"2016-07-12 23:24:52",62,1468365892,34963,CA_201520160ACR11,147520,452,"2015-03-12 09:15:00",35,0,2,(PASS),"2016-07-12 23:23:37",1002,1426151700,1468365817
1,34964,AYE,CA,"2016-07-12 23:25:14",63,1468365914,34964,CA_201520160SCR16,147659,452,"2015-04-06 14:19:00",36,0,3,(PASS),"2016-07-12 23:23:37",1004,1428329940,1468365817
1,34965,AYE,CA,"2016-07-12 23:25:14",64,1468365914,34965,CA_201520160SB138,147660,452,"2015-04-06 14:22:00",36,0,3,(PASS),"2016-07-12 23:23:37",1005,1428330120,1468365817
