pid,cid,year
15338,377,2015
15338,486,2015
15339,337,2015
15339,342,2015
15339,345,2015
15339,346,2015
15339,348,2015
15339,363,2015
15339,486,2015
15340,486,2015
15341,294,2015
15341,307,2015
15341,314,2015
15341,315,2015
15341,316,2015
15341,320,2015
15341,322,2015
15341,323,2015
15341,324,2015
15341,326,2015
15341,487,2015
15342,340,2015
15342,343,2015
15342,351,2015
15342,360,2015
15342,486,2015
15343,331,2015
15343,338,2015
15343,345,2015
15343,350,2015
15343,351,2015
15343,357,2015
15343,486,2015
15344,336,2015
15344,341,2015
15344,343,2015
15344,350,2015
15344,357,2015
15344,363,2015
15344,486,2015
15345,298,2015
15345,301,2015
15345,306,2015
15345,314,2015
15345,317,2015
15345,322,2015
15345,326,2015
15345,487,2015
15346,333,2015
15346,335,2015
15346,347,2015
15346,348,2015
15346,357,2015
15346,363,2015
15346,430,2015
15346,486,2015
15347,335,2015
15347,338,2015
15347,341,2015
15347,353,2015
15347,363,2015
15347,420,2015
15347,486,2015
15348,323,2015
15348,487,2015
15349,332,2015
15349,340,2015
15349,341,2015
15349,348,2015
15349,361,2015
15349,486,2015
15350,294,2015
15350,298,2015
15350,307,2015
15350,312,2015
15350,314,2015
15350,326,2015
15350,487,2015
15351,328,2015
15351,337,2015
15351,350,2015
15351,357,2015
15351,363,2015
15351,486,2015
15352,330,2015
15352,342,2015
15352,348,2015
15352,350,2015
15352,362,2015
15352,486,2015
15353,339,2015
15353,343,2015
15353,346,2015
15353,353,2015
15353,361,2015
15353,362,2015
15353,363,2015
15353,486,2015
15354,327,2015
15354,333,2015
15354,341,2015
15354,345,2015
15354,348,2015
15354,486,2015
15355,329,2015
15355,331,2015
15355,336,2015
15355,337,2015
15355,347,2015
15355,359,2015
15355,392,2015
15355,486,2015
15356,295,2015
15356,297,2015
15356,299,2015
15356,303,2015
15356,310,2015
15356,317,2015
15356,318,2015
15356,487,2015
15357,327,2015
15357,329,2015
15357,343,2015
15357,350,2015
15357,361,2015
15357,362,2015
15357,486,2015
15358,292,2015
15358,295,2015
15358,310,2015
15358,316,2015
15358,317,2015
15358,325,2015
15358,487,2015
15359,332,2015
15359,334,2015
15359,335,2015
15359,344,2015
15359,347,2015
15359,348,2015
15359,382,2015
15359,486,2015
15360,298,2015
15360,306,2015
15360,307,2015
15360,310,2015
15360,314,2015
15360,317,2015
15360,318,2015
15360,323,2015
15360,325,2015
15360,487,2015
15361,334,2015
15361,339,2015
15361,345,2015
15361,349,2015
15361,357,2015
15361,486,2015
15362,329,2015
15362,337,2015
15362,350,2015
15362,358,2015
15362,361,2015
15362,486,2015
15363,336,2015
15363,344,2015
15363,345,2015
15363,346,2015
15363,350,2015
15363,357,2015
15363,363,2015
15363,366,2015
15363,486,2015
15364,338,2015
15364,340,2015
15364,341,2015
15364,346,2015
15364,357,2015
15364,486,2015
15365,299,2015
15365,308,2015
15365,310,2015
15365,312,2015
15365,313,2015
15365,315,2015
15365,317,2015
15365,323,2015
15365,487,2015
15366,330,2015
15366,331,2015
15366,341,2015
15366,346,2015
15366,360,2015
15366,388,2015
15366,486,2015
15367,295,2015
15367,305,2015
15367,309,2015
15367,310,2015
15367,311,2015
15367,323,2015
15367,324,2015
15367,487,2015
15369,292,2015
15369,296,2015
15369,300,2015
15369,311,2015
15369,320,2015
15369,321,2015
15369,487,2015
15370,328,2015
15370,330,2015
15370,336,2015
15370,348,2015
15370,357,2015
15370,486,2015
15371,346,2015
15371,347,2015
15371,350,2015
15371,363,2015
15371,486,2015
15372,299,2015
15372,302,2015
15372,305,2015
15372,307,2015
15372,310,2015
15372,312,2015
15372,315,2015
15372,317,2015
15372,323,2015
15372,326,2015
15372,487,2015
15373,327,2015
15373,331,2015
15373,335,2015
15373,347,2015
15373,352,2015
15373,486,2015
15374,292,2015
15374,297,2015
15374,306,2015
15374,308,2015
15374,312,2015
15374,487,2015
15375,335,2015
15375,339,2015
15375,344,2015
15375,345,2015
15375,356,2015
15375,486,2015
15376,293,2015
15376,299,2015
15376,300,2015
15376,303,2015
15376,306,2015
15376,310,2015
15376,312,2015
15376,313,2015
15376,314,2015
15376,318,2015
15376,325,2015
15376,487,2015
15377,337,2015
15377,352,2015
15377,357,2015
15377,361,2015
15377,363,2015
15377,486,2015
15378,330,2015
15378,340,2015
15378,341,2015
15378,345,2015
15378,346,2015
15378,355,2015
15378,486,2015
15379,323,2015
15379,487,2015
15380,327,2015
15380,331,2015
15380,333,2015
15380,336,2015
15380,342,2015
15380,486,2015
15381,330,2015
15381,352,2015
15381,356,2015
15381,358,2015
15381,360,2015
15381,383,2015
15381,486,2015
15382,341,2015
15382,344,2015
15382,346,2015
15382,357,2015
15382,363,2015
15382,486,2015
15383,292,2015
15383,295,2015
15383,298,2015
15383,299,2015
15383,310,2015
15383,311,2015
15383,315,2015
15383,316,2015
15383,321,2015
15383,326,2015
15383,487,2015
15384,327,2015
15384,335,2015
15384,343,2015
15384,348,2015
15384,353,2015
15384,355,2015
15384,366,2015
15384,486,2015
15385,332,2015
15385,344,2015
15385,345,2015
15385,349,2015
15385,359,2015
15385,486,2015
15386,345,2015
15386,346,2015
15386,357,2015
15386,486,2015
15387,333,2015
15387,338,2015
15387,347,2015
15387,349,2015
15387,486,2015
15388,299,2015
15388,300,2015
15388,303,2015
15388,304,2015
15388,307,2015
15388,310,2015
15388,312,2015
15388,314,2015
15388,322,2015
15388,326,2015
15388,487,2015
15389,328,2015
15389,341,2015
15389,345,2015
15389,353,2015
15389,355,2015
15389,356,2015
15389,399,2015
15389,486,2015
15390,293,2015
15390,295,2015
15390,299,2015
15390,300,2015
15390,305,2015
15390,307,2015
15390,320,2015
15390,487,2015
15391,310,2015
15391,311,2015
15391,317,2015
15391,318,2015
15391,320,2015
15391,323,2015
15391,487,2015
15392,294,2015
15392,300,2015
15392,303,2015
15392,310,2015
15392,311,2015
15392,317,2015
15392,323,2015
15392,487,2015
15393,328,2015
15393,347,2015
15393,348,2015
15393,362,2015
15393,363,2015
15393,398,2015
15393,486,2015
15394,357,2015
15394,486,2015
15395,340,2015
15395,345,2015
15395,348,2015
15395,350,2015
15395,359,2015
15395,486,2015
15396,486,2015
15397,338,2015
15397,357,2015
15397,363,2015
15397,486,2015
15398,292,2015
15398,304,2015
15398,308,2015
15398,311,2015
15398,316,2015
15398,317,2015
15398,319,2015
15398,487,2015
15399,331,2015
15399,337,2015
15399,341,2015
15399,345,2015
15399,346,2015
15399,353,2015
15399,354,2015
15399,486,2015
15400,330,2015
15400,337,2015
15400,352,2015
15400,353,2015
15400,361,2015
15400,367,2015
15400,486,2015
15401,327,2015
15401,329,2015
15401,343,2015
15401,344,2015
15401,347,2015
15401,486,2015
15402,327,2015
15402,334,2015
15402,347,2015
15402,348,2015
15402,349,2015
15402,359,2015
15402,373,2015
15402,486,2015
15403,334,2015
15403,341,2015
15403,349,2015
15403,361,2015
15403,362,2015
15403,486,2015
15404,327,2015
15404,329,2015
15404,337,2015
15404,347,2015
15404,353,2015
15404,486,2015
15405,332,2015
15405,335,2015
15405,339,2015
15405,341,2015
15405,347,2015
15405,350,2015
15405,404,2015
15405,486,2015
15406,330,2015
15406,332,2015
15406,347,2015
15406,354,2015
15406,486,2015
15407,295,2015
15407,300,2015
15407,304,2015
15407,307,2015
15407,310,2015
15407,314,2015
15407,315,2015
15407,325,2015
15407,487,2015
15408,335,2015
15408,338,2015
15408,344,2015
15408,345,2015
15408,347,2015
15408,359,2015
15408,424,2015
15408,486,2015
15409,487,2015
15410,357,2015
15410,486,2015
15411,299,2015
15411,306,2015
15411,310,2015
15411,312,2015
15411,313,2015
15411,320,2015
15411,323,2015
15411,487,2015
15412,330,2015
15412,344,2015
15412,356,2015
15412,358,2015
15412,362,2015
15412,486,2015
15413,297,2015
15413,298,2015
15413,299,2015
15413,305,2015
15413,309,2015
15413,310,2015
15413,315,2015
15413,317,2015
15413,321,2015
15413,487,2015
15415,295,2015
15415,301,2015
15415,305,2015
15415,308,2015
15415,315,2015
15415,319,2015
15415,322,2015
15415,487,2015
15416,292,2015
15416,305,2015
15416,308,2015
15416,310,2015
15416,312,2015
15416,315,2015
15416,317,2015
15416,323,2015
15416,324,2015
15416,487,2015
15417,333,2015
15417,342,2015
15417,345,2015
15417,346,2015
15417,348,2015
