hid,date,state,lastTouched,type,date_ts,lastTouched_ts,session_year,dr_changed,dr_changed_ts,subject
824,2016-02-24,CA,"2017-01-10 04:15:48",Informational,1456272000,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
825,2016-02-24,CA,"2017-01-10 04:15:48",Budget,1456272000,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
826,2016-02-24,CA,"2017-01-10 04:15:48",Informational,1456272000,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
827,2016-02-23,CA,"2017-01-10 04:15:48",Budget,1456185600,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
828,2016-02-25,CA,"2017-01-10 04:15:48",Regular,1456358400,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
829,2016-02-25,CA,"2017-01-10 04:15:48",Informational,1456358400,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
830,2016-02-29,CA,"2017-01-10 04:15:48",Informational,1456704000,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
831,2016-02-29,CA,"2017-01-10 04:15:48",Informational,1456704000,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
832,2016-02-29,CA,"2017-01-10 04:15:48",Regular,1456704000,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
833,2016-02-29,CA,"2017-01-10 04:15:48",Informational,1456704000,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
834,2016-03-01,CA,"2017-01-10 04:15:48",Informational,1456790400,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
835,2016-03-01,CA,"2017-01-10 04:15:48",Informational,1456790400,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
836,2016-03-01,CA,"2017-01-10 04:15:48",Budget,1456790400,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
837,2016-03-01,CA,"2017-01-10 04:15:48",Informational,1456790400,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
838,2016-03-01,CA,"2017-01-10 04:15:48",Informational,1456790400,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
839,2016-03-02,CA,"2017-01-10 04:15:48",Informational,1456876800,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
