pid,uid
3086,10067
3086,10075
3086,10083
3086,10089
3086,10097
3086,10105
8,10109
972,10113
972,10123
972,10131
972,10143
972,10153
972,10159
972,10163
972,10175
972,10181
972,10191
8,10207
8,10215
102,10227
44,10229
44,10233
44,10251
44,10299
44,10303
44,10307
44,10317
44,10333
44,10345
44,10367
41,10389
41,10405
41,10427
44,10435
2985,10455
2985,10471
2985,10475
2985,10483
2985,10491
2985,10503
2985,10519
2985,10523
2985,10543
2985,10551
2985,10565
2985,10583
2985,10611
2985,10623
2985,10635
2985,10655
2985,10695
2985,10707
2985,10749
2985,10763
2985,10785
2985,10803
2985,10823
2985,10833
2985,10855
2985,10877
2985,10893
2985,10911
2985,10931
44,10959
2986,10961
2986,10979
2986,11001
2986,11025
2986,11055
2986,11075
2986,11085
2986,11105
2986,11125
2986,11137
2986,11167
2986,11173
2986,11195
2986,11223
2986,11259
44,11267
2986,11279
44,11281
2985,11291
44,11321
44,11337
2985,11351
44,11359
2985,11365
44,11367
2985,11381
44,11387
3026,11389
44,11401
3026,11403
44,11413
3026,11415
44,11437
2985,11443
3026,11449
44,11461
41,11465
44,11467
31,11469
31,11479
2985,11515
2985,11531
2985,11547
31,11561
2985,11597
2985,11629
44,11647
22,11649
22,11669
2985,11681
3026,11693
22,11727
2985,11731
22,11751
2985,11781
22,11787
44,11789
83,11791
83,11821
83,11847
2985,11869
83,11903
83,11915
44,11963
44,11999
30,12021
2985,12049
3026,12075
2999,12109
2999,12137
30,12149
87,12151
87,12177
87,12195
2985,12219
44,12245
69,12247
2985,12277
69,12301
2985,12313
44,12325
86,12341
3000,12377
86,12389
3000,12393
86,12403
44,12419
91,12421
44,12435
91,12437
91,12449
2985,12469
2985,12495
2985,12513
91,12531
2985,12549
91,12561
2985,12571
91,12609
91,12627
2985,12651
91,12679
44,12685
76,12687
76,12723
2985,12751
76,12767
2985,12781
76,12809
44,12865
7,12867
2985,12885
7,12923
2985,12925
7,12937
44,12955
113,12957
2985,12977
2985,13001
3026,13011
2985,13033
113,13041
2985,13045
113,13047
113,13049
44,13051
85,13053
2985,13073
44,13097
41,13099
2986,13123
41,13153
44,13155
102,13171
102,13185
102,13197
3004,13203
102,13209
3004,13211
3004,13223
102,13233
102,13241
3004,13251
3004,13279
102,13285
64,13289
3004,13311
64,13333
102,13351
61,13353
102,13377
49,13385
3004,13411
102,13445
62,13447
3004,13463
102,13465
3007,13497
3007,13525
102,13549
3008,13553
102,13569
3009,13571
3009,13599
102,13623
3009,13625
102,13627
3009,13629
102,13631
2201,13637
102,13651
3011,13653
102,13693
3012,13695
3012,13735
102,13755
3013,13757
102,13801
102,13819
3014,13821
102,13841
3014,13843
102,13845
102,13855
102,13857
3013,13873
102,13877
102,13881
102,13889
102,13893
102,13897
102,13907
102,13911
3078,13915
3078,13921
3078,13925
3078,13933
3078,13937
3078,13943
3078,13953
102,13963
102,13973
102,13983
102,13991
3078,13999
3078,14005
102,14015
102,14021
102,14025
102,14031
102,14047
3078,14051
3078,14059
102,14069
102,14075
102,14087
102,14097
3078,14107
64,14119
64,14123
64,14131
64,14139
3078,14151
3078,14159
3078,14167
3078,14179
3078,14191
64,14195
3078,14215
64,14227
64,14229
102,14231
102,14245
102,14255
102,14267
102,14277
102,14283
102,14291
102,14299
61,14305
61,14309
61,14315
61,14321
61,14327
61,14333
61,14341
61,14347
61,14353
61,14359
61,14367
61,14375
61,14379
61,14387
61,14391
61,14397
61,14403
61,14413
102,14417
3078,14431
49,14437
49,14445
49,14453
49,14469
3078,14477
3078,14485
3078,14491
49,14505
49,14515
49,14527
102,14539
102,14551
62,14559
62,14563
62,14567
62,14573
62,14581
102,14587
102,14591
102,14601
102,14609
102,14625
102,14633
102,14645
102,14653
102,14663
102,14681
102,14685
3089,14693
3089,14699
3089,14707
3089,14713
102,14721
102,14735
102,14741
102,14753
102,14761
102,14769
102,14783
60,14789
60,14793
60,14797
60,14801
60,14803
60,14807
60,14811
60,14817
60,14823
2985,14827
2985,14833
2985,14841
2985,14847
2985,14855
2985,14859
2985,14865
2985,14871
2985,14879
2985,14881
2985,14887
2985,14895
2985,14901
2985,14907
2985,14915
2985,14923
2985,14929
2985,14933
2985,14941
2985,14953
2985,14959
2985,14965
2985,14971
2985,14981
2985,14987
2985,14993
2985,15001
2985,15009
2985,15015
2985,15019
2985,15021
2985,15029
2985,15039
