pid,last,first,state
341,Sustaita,Luisa,CA
342,Turner,Prem,CA
343,Bissell,Kathleen,CA
344,Mecca,Frank,CA
345,Robinson,Laurence,CA
346,Flammer,Christopher,CA
347,Valencia,John,CA
348,Ross,Esperanza,CA
349,Zehner,M.Steven,CA
350,Berends,Edwin,CA
351,Edgar,Evan,CA
352,Felizzatto,Daniel,CA
353,Carlson,Stephen,CA
354,Fair,Reginald,CA
355,Brandenburg,Katherine,CA
356,Flanigan,John,CA
357,Flanigan,Michael,CA
358,Flanigan,Terrance,CA
359,Flanigan,Timothy,CA
360,"Tucker Jr",Curtis,CA
361,Schafer,Trudy,CA
362,Ferguson,James,CA
363,Bernheimer,Robert,CA
364,Patterson,David,CA
365,Hollingsworth,Kathy,CA
366,"Mc Elderry",Robert,CA
367,Chadha,Surinder,CA
368,Duerr,Marc,CA
369,Bigelow,Melva,CA
370,Wooten,Eric,CA
372,Flynn,Lara,CA
373,Gerber,Donna,CA
374,Green,Karon,CA
376,Gorman,Bertha,CA
377,Wiese,Kristy,CA
378,Brooks,Kelly,CA
379,Howard,Elizabeth,CA
381,Henning,Patrick,CA
382,Senderling,Catherine,CA
383,Culliton,Katie,CA
384,Carolan,Edmund,CA
385,Power,Kristin,CA
386,Bacchi,Charles,CA
387,Broyles,Julianne,CA
388,"Di Mare",Dominic,CA
389,Nera,Valerie,CA
390,Macaluso,Robert,CA
391,Rubin,Robert,CA
392,"A. Kimbrough",John,CA
393,Barrow,Bret,CA
394,Stover,Glenn,CA
395,Bettencourt,Joanne,CA
396,Torres,Jesus,CA
397,Brakensiek,Carlyle,CA
398,Hernandez,Pete,CA
399,Perez,Roy,CA
400,Tyler-Jackson,Stephanie,CA
401,Edwards,Nolice,CA
402,Lynch,Mike,CA
403,Hurst,Jean,CA
404,Golka,Joshua,CA
405,Garcia,Eloy,CA
406,Mosqueda,Terri,CA
407,Guerrero,Martha,CA
408,Dowden,Hellan,CA
409,Arnold,Michael,CA
410,Foy,Kristian,CA
411,Welty,Matthew,CA
412,Leacox,Daniel,CA
413,Gassaway,Leanne,CA
414,Knox,James,CA
415,Martin,Elizabeth,CA
416,Rosegay,Margaret,CA
417,Pedrotti,"J. Kevin",CA
418,Gordon,Donald,CA
419,Tribble,Douglas,CA
420,Halnan,Charles,CA
421,Whitlock,Wayne,CA
422,Yaki,Michael,CA
423,Bicker,Robert,CA
424,Carlton,Debra,CA
425,Poppe,Heidi,CA
426,Hernandez,Anthony,CA
427,Selix,Rusty,CA
428,Gentzel,Margie,CA
429,Western,Dan,CA
430,Murch,Ken,CA
431,Kessler,Alice,CA
432,Houston,Douglas,CA
433,Houston,Robert,CA
434,Devine,William,CA
435,Kellison,Peter,CA
436,Nelson,Laurie,CA
437,Randlett,James,CA
438,Shelton,Jeffrey,CA
439,Martinez,Gilbert,CA
440,Marshall,Patrick,CA
441,Arriola,Monica,CA
442,Evans,Carol,CA
444,Magnani,Bruce,CA
445,Thompson,Rayne,CA
446,Marshall,Marla,CA
447,Criscione,Joe,CA
448,Lovell,John,CA
449,Newhart,Charlotte,CA
450,Pomer,Anne,CA
451,Pomer,Bruce,CA
452,Simonelli,Frederick,CA
453,Simonelli,James,CA
454,Rosenberg,Roger,CA
455,Griffith,Sherry,CA
456,Bennett,Ronald,CA
457,Berg,Carol,CA
458,Blattner,Robert,CA
459,Bray,Arnold,CA
460,Goldfinger,Paul,CA
461,Hall,Kenneth,CA
462,"La Casse",Nancy,CA
463,Conover,Gary,CA
464,Foster,Alan,CA
465,Camarillo-Krohn,Lucy,CA
466,Turner,"Wm. Gregory",CA
467,Martin,Lisa,CA
468,Mudge,Cathy,CA
469,Larson,Roberta,CA
470,Villasenor,Salvador,CA
471,Riley,Kathleen,CA
472,Magallan,Rafael,CA
473,Bader,Charles,CA
474,Zuckerman,Thomas,CA
475,Schmiege,Patricia,CA
476,Presley,Robert,CA
477,Franchetti,Michael,CA
478,"Shannon Jr.",Timothy,CA
479,Kaldor,Rachel,CA
480,Coyle,Tim,CA
481,Dellinger,Kimberley,CA
482,Lyon,Richard,CA
483,"A. Procida",Katherine,CA
484,Raymer,Robert,CA
485,Ortega,Jesse,CA
486,Leal,"H. Francisco",CA
487,Cole,Kathleen,CA
488,Onate-Quintana,Pilar,CA
489,Zenzola,Pat,CA
491,Smock,Jon,CA
492,Washington,Willie,CA
493,Rogge,Michael,CA
494,English,Jeannine,CA
495,Frahm,Christine,CA
496,McGANN,Terry,CA
497,Riley,Tom,CA
498,Jewel,Elisabeth,CA
499,Kilbourn,Michael,CA
500,Chamorro,Amalia,CA
501,Pane,Donna,CA
502,Pane,Josh,CA
503,Pitcl,Joni,CA
505,Scarlett,Robert,CA
506,Feliciano,Armand,CA
509,Edelstein,Alan,CA
510,Gilbert,Donald,CA
511,Robson,Michael,CA
512,Brown,Debra,CA
513,Escamilla,Phillip,CA
514,"Mc Graw","G. Michael",CA
515,Capell,Beth,CA
516,Hewlett,Clothilde,CA
517,Lyons,Joseph,CA
518,Sutton,Matthew,CA
519,Rothrock,Dorothy,CA
520,Vermeulen,Philip,CA
521,Markuson,Richard,CA
522,Cammarota,Nick,CA
523,Webb,Michael,CA
524,Vargas,Sandra,CA
525,Rhoads,Stephen,CA
526,Shimasaki,Dale,CA
527,Miller,Jackie,CA
528,Achermann,Robert,CA
529,Schinske,Don,CA
530,Kersten,David,CA
531,Goldberg,Lenny,CA
532,Hernandez,Mary,CA
534,Polanco,Richard,CA
535,Spencer,Sedrick,CA
536,Smith,Trent,CA
537,Rodriguez,Lisa,CA
538,Fletcher-Stover,Carrie,CA
539,Gualco,Jackson,CA
540,Kidney,"R. Brian",CA
541,Daijogo,Kendra,CA
542,Leathers,Patrick,CA
543,Manning,Edward,CA
545,Biglieri,Barbara,CA
546,Bua,Shiela,CA
547,Inslee,Theresa,CA
548,Duffy,Thomas,CA
549,Holmes,Paul,CA
550,Padilla,Ian,CA
551,Silva,Ernest,CA
552,Walrath,David,CA
553,Theisen,Mark,CA
554,Fernandez,Soyla,CA
555,Dunn,Keith,CA
556,Margolin,Burt,CA
557,Depierro,Denyette,CA
558,Robinson,Richard,CA
559,Brown,Craig,CA
560,Carmona,Jose,CA
561,Gonzalez,Cher,CA
562,Fitzharris,Timothy,CA
563,Horton,Victoria,CA
564,Hughes,Trudi,CA
565,Brown,Laura,CA
566,George,Sande,CA
567,Sledge,Elaine,CA
568,Statham,Stan,CA
569,Lindsay,Steven,CA
570,Dolejsi,Edward,CA
571,Santana,"Al Hernandez",CA
572,Kuhns,Ann-Louise,CA
573,Lindburg,James,CA
574,Mattock,Noelle,CA
575,Barsuglia,Heidi,CA
